a52dec 0.8.0-2
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
aom 3.7.0-1
appstream 0.16.3-1
arch-wiki-docs 20230901-1
arch-wiki-lite 20230901-1
archlinux-keyring 20230918-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.110.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r127+g55d783d-1
baloo-widgets 23.08.1-1
baloo5 5.110.0-1
base 3-1
base-devel 1-1
bash 5.1.016-4
bemenu 0.6.16-1
bemenu-wayland 0.6.16-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.69-1
bluez-libs 5.69-1
bluez-utils 5.69-1
boost-libs 1.83.0-2
brotli 1.1.0-1
btrfs-progs 6.5.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
catppuccin-cursors-mocha 0.2.0-1
cdparanoia 10.2-8
check 0.15.2-2
chrono-date 3.0.1-3
cifs-utils 7.0-3
cmake 3.27.6-1
convertlit 1.8-11
coreutils 9.3-1
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.3.0-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
diffutils 3.10-1
dnssec-anchors 20190629-3
dolphin 23.08.1-1
dotnet-host 7.0.11.sdk111-1
dotnet-runtime 7.0.11.sdk111-1
dotnet-sdk 7.0.11.sdk111-1
dotnet-targeting-pack 7.0.11.sdk111-1
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
efibootmgr 18-2
efivar 38-3
ell 0.58-1
emacs 29.1-4
enchant 2.5.0-1
exiv2 0.28.0-3
expat 2.5.0-1
faad2 2.10.1-1
fakeroot 1.32.1-1
fcft 3.1.6-1
ffmpeg 2:6.0-11
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 118.0-1
firefox-pwa-bin 2.7.3-1
flac 1.4.3-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fmt 10.1.0-1
fontconfig 2:2.14.2-1
foot 1.15.3-1
freeglut 3.4.0-1
freeimage 3.18.0-21
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.1-1
fuse3 3.16.1-1
fuzzel 1.9.2-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-1
gettext 0.22.2-1
giflib 5.2.1-2
git 2.42.0-1
glib-networking 1:2.78.0-1
glib2 2.78.0-2
glibc 2.38-4
glibmm 2.66.6-1
glslang 13.0.0-1
glu 9.0.3-1
gmp 6.3.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.41-2
gnutls 3.8.1-1
go 2:1.21.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.13-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12rc1-1
gsettings-desktop-schemas 44.0-1
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.6-1
gst-plugins-base 1.22.6-1
gst-plugins-base-libs 1.22.6-1
gstreamer 1.22.6-1
gtest 1.14.0-1
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.3-1
gtk3 1:3.24.38-1
gtk4 1:4.12.3-1
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gzip 1.13-2
harfbuzz 8.2.1-1
harfbuzz-icu 8.2.1-1
help2man 1.49.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.2.2-1
hwdata 0.374-1
hwloc 2.9.1-1
hyphen 2.8.8-5
hyprland 0.30.0-1
hyprpicker 0.1.1-2
iana-etc 20230907-1
icu 73.2-2
imath 3.1.9-2
imv 4.4.0-2
inetutils 2.4-2
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.8-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
jbigkit 2.1-7
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kactivities5 5.110.0-1
karchive5 5.110.0-1
kauth5 5.110.0-1
kbd 2.6.3-1
kbookmarks5 5.110.0-1
kcmutils5 5.110.0-1
kcodecs5 5.110.0-1
kcompletion5 5.110.0-1
kconfig5 5.110.0-1
kconfigwidgets5 5.110.0-1
kcoreaddons5 5.110.0-1
kcrash5 5.110.0-1
kdbusaddons5 5.110.0-1
kdeclarative5 5.110.0-1
kded5 5.110.0-2
kdnssd5 5.110.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keyutils 1.6.3-2
kfilemetadata5 5.110.0-1
kglobalaccel5 5.110.0-1
kguiaddons5 5.110.0-1
ki18n5 5.110.0-1
kiconthemes5 5.110.0-1
kidletime5 5.110.0-1
kio-extras 23.08.1-1
kio5 5.110.0-2
